Fetching 5 files:   0%|          | 0/5 [00:00<?, ?it/s]Fetching 5 files: 100%|██████████| 5/5 [00:00<00:00, 820.80it/s]
train: 10674 items, 3 epochs, 999 updates, micro 8 x accum 4
  epoch 2/3 step 1100/1335 loss 2.4689 ce 2.1412 reward -0.948 lr 8.95e-06 33.5 min, 0.83 s/step
  epoch 2/3 step 1150/1335 loss 1.3993 ce 1.0496 reward -0.524 lr 8.53e-06 34.1 min, 0.82 s/step
  epoch 2/3 step 1200/1335 loss 0.0392 ce 0.0161 reward 0.733 lr 8.07e-06 34.8 min, 0.82 s/step
  epoch 2/3 step 1250/1335 loss 0.2461 ce 0.4298 reward 0.206 lr 7.67e-06 35.3 min, 0.82 s/step
  epoch 2/3 step 1300/1335 loss 1.0273 ce 1.0116 reward -0.535 lr 7.23e-06 36.1 min, 0.82 s/step
=== epoch 2 done, avg loss 0.4433, 36.5 min ===
  epoch 3/3 step 50/1335 loss 0.2871 ce 0.1332 reward 0.576 lr 6.55e-06 37.2 min, 0.82 s/step
  epoch 3/3 step 100/1335 loss -0.0263 ce 0.4040 reward 0.198 lr 6.14e-06 38.0 min, 0.82 s/step
  epoch 3/3 step 150/1335 loss 0.2027 ce 0.0004 reward 0.750 lr 5.77e-06 38.6 min, 0.82 s/step
  epoch 3/3 step 200/1335 loss 1.1432 ce 0.9647 reward -0.370 lr 5.39e-06 39.3 min, 0.82 s/step
  epoch 3/3 step 250/1335 loss 0.3253 ce 0.0069 reward 0.743 lr 5.04e-06 40.0 min, 0.82 s/step
  epoch 3/3 step 300/1335 loss 0.7903 ce 0.3821 reward 0.262 lr 4.68e-06 40.7 min, 0.82 s/step
  epoch 3/3 step 350/1335 loss 0.8709 ce 0.3672 reward 0.246 lr 4.36e-06 41.4 min, 0.82 s/step
  epoch 3/3 step 400/1335 loss 0.1389 ce 0.2696 reward 0.385 lr 4.03e-06 42.0 min, 0.82 s/step
  epoch 3/3 step 450/1335 loss 0.5166 ce 0.1324 reward 0.582 lr 3.74e-06 42.7 min, 0.82 s/step
  epoch 3/3 step 500/1335 loss 0.7803 ce 0.7193 reward -0.126 lr 3.43e-06 43.3 min, 0.82 s/step
  epoch 3/3 step 550/1335 loss 0.6259 ce 0.6331 reward -0.055 lr 3.16e-06 43.9 min, 0.82 s/step
  epoch 3/3 step 600/1335 loss 0.2279 ce 0.0423 reward 0.706 lr 2.89e-06 44.7 min, 0.82 s/step
  epoch 3/3 step 650/1335 loss 0.8550 ce 0.8247 reward -0.327 lr 2.66e-06 45.5 min, 0.82 s/step
  epoch 3/3 step 700/1335 loss 0.4512 ce 0.6174 reward 0.030 lr 2.42e-06 46.3 min, 0.82 s/step
  epoch 3/3 step 750/1335 loss 0.3415 ce 0.1317 reward 0.565 lr 2.21e-06 46.9 min, 0.82 s/step
