Fetching 5 files:   0%|          | 0/5 [00:00<?, ?it/s]Fetching 5 files: 100%|██████████| 5/5 [00:00<00:00, 619.47it/s]
train: 47379 items, 2 epochs, 2960 updates, micro 8 x accum 4
  epoch 1/2 step 2400/5923 loss 1.0209 ce 1.1837 reward -0.789 lr 2.26e-05 19.5 min, 0.49 s/step
  epoch 1/2 step 2450/5923 loss 0.8772 ce 0.7419 reward -0.245 lr 2.26e-05 19.9 min, 0.49 s/step
  epoch 1/2 step 2500/5923 loss 0.5583 ce 0.6580 reward -0.111 lr 2.25e-05 20.3 min, 0.49 s/step
  epoch 1/2 step 2550/5923 loss 0.4177 ce 0.4607 reward 0.105 lr 2.24e-05 20.6 min, 0.49 s/step
  epoch 1/2 step 2600/5923 loss 0.7540 ce 0.5842 reward 0.014 lr 2.23e-05 21.0 min, 0.49 s/step
  epoch 1/2 step 2650/5923 loss 0.8775 ce 0.9392 reward -0.510 lr 2.22e-05 21.4 min, 0.48 s/step
  epoch 1/2 step 2700/5923 loss 0.8696 ce 0.6088 reward -0.017 lr 2.21e-05 21.8 min, 0.48 s/step
  epoch 1/2 step 2750/5923 loss 0.7630 ce 0.9803 reward -0.526 lr 2.19e-05 22.2 min, 0.49 s/step
  epoch 1/2 step 2800/5923 loss 0.0954 ce 0.3791 reward 0.250 lr 2.18e-05 22.6 min, 0.48 s/step
  epoch 1/2 step 2850/5923 loss 0.5950 ce 0.6082 reward -0.083 lr 2.17e-05 23.1 min, 0.49 s/step
  epoch 1/2 step 2900/5923 loss 0.8603 ce 0.8976 reward -0.494 lr 2.16e-05 23.5 min, 0.49 s/step
  epoch 1/2 step 2950/5923 loss 0.5447 ce 0.7432 reward -0.218 lr 2.15e-05 23.9 min, 0.49 s/step
  epoch 1/2 step 3000/5923 loss 0.4574 ce 0.6201 reward -0.055 lr 2.14e-05 24.4 min, 0.49 s/step
  epoch 1/2 step 3050/5923 loss 0.3645 ce 0.6186 reward -0.073 lr 2.13e-05 24.8 min, 0.49 s/step
  epoch 1/2 step 3100/5923 loss 0.6556 ce 0.6907 reward -0.125 lr 2.12e-05 25.2 min, 0.49 s/step
  epoch 1/2 step 3150/5923 loss 0.2588 ce 0.5167 reward 0.064 lr 2.11e-05 25.7 min, 0.49 s/step
  epoch 1/2 step 3200/5923 loss -0.0603 ce 0.3997 reward 0.237 lr 2.09e-05 26.1 min, 0.49 s/step
  epoch 1/2 step 3250/5923 loss 0.4132 ce 0.5783 reward 0.017 lr 2.08e-05 26.6 min, 0.49 s/step
  epoch 1/2 step 3300/5923 loss -0.2037 ce 0.2247 reward 0.445 lr 2.07e-05 27.0 min, 0.49 s/step
  epoch 1/2 step 3350/5923 loss 0.6141 ce 1.1557 reward -0.752 lr 2.06e-05 27.4 min, 0.49 s/step
  epoch 1/2 step 3400/5923 loss 0.5491 ce 0.7890 reward -0.307 lr 2.04e-05 27.8 min, 0.49 s/step
  epoch 1/2 step 3450/5923 loss 0.4212 ce 0.3976 reward 0.235 lr 2.03e-05 28.2 min, 0.49 s/step
  epoch 1/2 step 3500/5923 loss 0.3593 ce 0.6165 reward -0.073 lr 2.02e-05 28.6 min, 0.49 s/step
  epoch 1/2 step 3550/5923 loss 0.4304 ce 0.5727 reward 0.005 lr 2.01e-05 29.0 min, 0.49 s/step
  epoch 1/2 step 3600/5923 loss 0.6081 ce 0.6349 reward -0.158 lr 1.99e-05 29.4 min, 0.49 s/step
  epoch 1/2 step 3650/5923 loss -0.0168 ce 0.4493 reward 0.155 lr 1.98e-05 29.9 min, 0.49 s/step
  epoch 1/2 step 3700/5923 loss 0.4826 ce 0.4379 reward 0.193 lr 1.97e-05 30.4 min, 0.49 s/step
  epoch 1/2 step 3750/5923 loss 0.3539 ce 0.7525 reward -0.261 lr 1.95e-05 30.8 min, 0.49 s/step
  epoch 1/2 step 3800/5923 loss 0.3930 ce 0.7678 reward -0.291 lr 1.94e-05 31.2 min, 0.49 s/step
  epoch 1/2 step 3850/5923 loss 0.1389 ce 0.4774 reward 0.103 lr 1.93e-05 31.6 min, 0.49 s/step
  epoch 1/2 step 3900/5923 loss 0.5124 ce 0.5686 reward 0.010 lr 1.91e-05 32.0 min, 0.49 s/step
  epoch 1/2 step 3950/5923 loss 0.2930 ce 0.3969 reward 0.237 lr 1.90e-05 32.5 min, 0.49 s/step
  epoch 1/2 step 4000/5923 loss 0.1637 ce 0.7655 reward -0.284 lr 1.89e-05 32.9 min, 0.49 s/step
  epoch 1/2 step 4050/5923 loss 0.3622 ce 0.6434 reward -0.126 lr 1.87e-05 33.4 min, 0.49 s/step
  epoch 1/2 step 4100/5923 loss 0.6984 ce 0.7104 reward -0.178 lr 1.86e-05 33.7 min, 0.49 s/step
  epoch 1/2 step 4150/5923 loss 0.6811 ce 0.6091 reward -0.072 lr 1.84e-05 34.1 min, 0.49 s/step
  epoch 1/2 step 4200/5923 loss 0.4080 ce 0.4884 reward 0.097 lr 1.83e-05 34.5 min, 0.49 s/step
  epoch 1/2 step 4250/5923 loss 0.5447 ce 0.6854 reward -0.122 lr 1.82e-05 34.9 min, 0.49 s/step
  epoch 1/2 step 4300/5923 loss 0.4755 ce 0.5148 reward 0.056 lr 1.80e-05 35.3 min, 0.49 s/step
  epoch 1/2 step 4350/5923 loss 1.1611 ce 1.1469 reward -0.711 lr 1.79e-05 35.8 min, 0.49 s/step
  epoch 1/2 step 4400/5923 loss 0.1950 ce 0.3259 reward 0.325 lr 1.77e-05 36.2 min, 0.49 s/step
  epoch 1/2 step 4450/5923 loss 0.7126 ce 0.2713 reward 0.416 lr 1.76e-05 36.7 min, 0.49 s/step
  epoch 1/2 step 4500/5923 loss -0.0539 ce 0.5241 reward 0.037 lr 1.74e-05 37.1 min, 0.49 s/step
  epoch 1/2 step 4550/5923 loss 0.1924 ce 0.5186 reward -0.005 lr 1.73e-05 37.5 min, 0.49 s/step
